channel_name,channel_url,country,subscribers,videos_found,average_views,last_video_date,score
Aquele Anime,https://www.youtube.com/channel/UC0O4sxaDnKPMdOvUoGjtCZg,BR,1070,1,54,2026-09-05T21:00:20Z,2
Geek Consciente,https://www.youtube.com/channel/UCFOn9si9LBfJSkCeBZASW4w,BR,18500,1,1980,2026-08-30T17:00:20Z,1
Marcelo Wiek,https://www.youtube.com/channel/UC3GyWe6ekug2yjdyR7jVAug,BR,8640,1,1052,2026-08-23T13:14:04Z,1
CarlosArt,https://www.youtube.com/channel/UCJNuCxzhbj7oWj4mdNb1YjA,BR,5380,1,1001,2026-09-03T16:01:07Z,1
Bixo Cabeludo,https://www.youtube.com/channel/UCX-mgAzpVx2db8yfnlQk6Yw,BR,4740,1,503,2026-08-31T18:00:04Z,1
Nyari Cars Autos,https://www.youtube.com/channel/UCAdgzJPPoH4D0zgkP_YPlBA,BR,17700,1,431,2026-08-26T17:58:33Z,1
Salada_Tech,https://www.youtube.com/channel/UCcp5rwuGBqG6SIj56EmS_Lw,BR,16300,1,401,2026-08-26T22:20:54Z,1
Shynoubi,https://www.youtube.com/channel/UCu7XCeTjj94TaS9jJRZkQkA,BR,7700,1,225,2026-09-03T16:00:01Z,1
Lojas MM,https://www.youtube.com/channel/UCx0j3Zz4wOHp6q0GTv4JqCA,BR,2680,1,207,2026-08-18T16:27:05Z,1
PremiumHIFI em Português,https://www.youtube.com/channel/UCNr93CS2cMYj52OA4FKG-6Q,BR,3700,1,187,2026-08-16T20:00:05Z,1
jack013,https://www.youtube.com/channel/UCWAtxVq-SMklJbnyNdnsrKg,BR,14900,1,183,2026-08-28T16:37:58Z,1
MercadoCar,https://www.youtube.com/channel/UC6nwPqqCbVmMoLLo2cNTq4g,BR,10700,1,159,2026-08-21T23:00:00Z,1
Quase Literalmente,https://www.youtube.com/channel/UCoE8X14gxKdr4xO6eijdbww,BR,1850,1,121,2026-08-31T19:00:05Z,1
Universo Shop,https://www.youtube.com/channel/UCZKMtNs8g_6nI1s4GuWiJVw,BR,3130,1,86,2026-08-21T17:57:30Z,1
AUTOCSBR,https://www.youtube.com/channel/UC8NUJlO0x4GfvdqCrib-3fw,BR,5590,1,65,2026-08-19T13:01:13Z,1
Unique Automóveis,https://www.youtube.com/channel/UCZQgHs9VrXBV-PEkTP4CY8A,BR,1230,4,59,2026-09-01T20:51:21Z,1
Papo peças sobre peças,https://www.youtube.com/channel/UCrMdbIrwx5omoBe1CxrG0nA,BR,2450,1,53,2026-09-02T12:42:33Z,1
PodNeas (PodCast do Enéas),https://www.youtube.com/channel/UC9kSXZtYUkXbYucgnrwtPDQ,BR,2980,1,1,2026-09-02T15:09:49Z,1
