channel_name,channel_url,country,subscribers,videos_found,average_views,last_video_date,score
KayoPhysique,https://www.youtube.com/channel/UCfVL4sHGOM4SGpHAiyJOJ8A,BR,2080,5,886,2026-09-11T10:00:03Z,5
NAPSTER TECNOLOGIA ,https://www.youtube.com/channel/UCrKGXKHcRX70NaAPGCM6WFw,BR,1250,2,876,2026-09-10T21:22:29Z,5
THIAGÃO,https://www.youtube.com/channel/UC99UIs5szhxNrqqHZ5AKQPg,BR,1010,1,833,2026-09-11T15:00:18Z,5
 Moriahclips,https://www.youtube.com/channel/UCX0BIdDPjM6jqi3qU-2Y4tA,BR,1100,1,789,2026-09-11T17:30:37Z,5
Por Dentro do Motor,https://www.youtube.com/channel/UCf_CiSPjDqzEIayyzv1-gOQ,BR,14800,2,47265,2026-08-27T20:30:09Z,4
Mente e Mercado,https://www.youtube.com/channel/UCeS9WEg9O_JLK26Eca30OwA,BR,15300,1,14262,2026-09-05T22:19:06Z,4
CANALFUTCR,https://www.youtube.com/channel/UCbAd4lUs0Ot2qGxS87pbaTQ,BR,13400,2,5406,2026-09-10T17:00:14Z,4
O Manual Da Bola,https://www.youtube.com/channel/UC5tIQDP-ca09d0utDA4vppw,BR,9590,1,3366,2026-09-09T17:25:32Z,4
Vestiário Raiz FC,https://www.youtube.com/channel/UC9-07ekSSa7HInwQ_iwK-qQ,BR,10600,1,2907,2026-09-10T15:00:33Z,4
Karllos,https://www.youtube.com/channel/UCn9qZ8dxp6veMk_e0TK4Nxw,BR,7250,1,2649,2026-09-10T01:02:37Z,4
Effeagá,https://www.youtube.com/channel/UCkExFhDcj__JCYfE8-4kWPA,BR,2450,2,2327,2026-09-06T21:00:26Z,4
Fabio Dom Principe,https://www.youtube.com/channel/UCDXvnQlcxT4pk3fxStGDXEA,BR,7110,1,1738,2026-09-11T13:51:02Z,4
Flow e Podpah Cortes,https://www.youtube.com/channel/UCPQFK99DMteVOJQLtLYaU9A,BR,6900,1,1704,2026-09-10T10:00:30Z,4
Toni Tech,https://www.youtube.com/channel/UCMy5ffBON9GQLT3s2vTMO0w,BR,4450,2,1690,2026-09-10T23:34:12Z,4
VAR COM LUCAS,https://www.youtube.com/channel/UC18bEllVutrNQBQnSMNLjmw,BR,4560,2,1579,2026-09-11T14:07:04Z,4
gera reações ,https://www.youtube.com/channel/UCWIVNEbAdoCoLR-nHn37Qlw,BR,3440,1,1569,2026-09-10T15:45:10Z,4
Vision Cup ,https://www.youtube.com/channel/UCgRcOYWXgqI5Vfl0Ybxl4Ww,BR,4500,1,1547,2026-09-11T18:03:18Z,4
Giovanna Vlasic | Prof Autista Gamer,https://www.youtube.com/channel/UCor9AoASVoppnpi2ABbb_-w,BR,5650,1,1536,2026-09-09T21:33:43Z,4
Hey Beccky,https://www.youtube.com/channel/UC9vgQJSTeMHgyX0ZC4jmjrg,BR,5870,1,1462,2026-09-09T21:00:17Z,4
YumiFenix,https://www.youtube.com/channel/UC9DB49NuZ3MtEmRi4RL9_3A,BR,4330,1,1413,2026-09-10T21:27:34Z,4
